fecha,nubosidad,temperatura,viento,humedad,presion
Martes 18 Septiembre 2018,Cielo cubierto,17°,En calma,94%,1023 hPa
Miércoles 19 Septiembre 2018,Cielo cubierto,17°,9 km/h,82%,1022 hPa
Jueves 20 Septiembre 2018,Mayormente cubierto,18°,En calma,88%,1021 hPa
Viernes 21 Septiembre 2018,Mayormente cubierto,19°,En calma,83%,1021 hPa
Sábado 22 Septiembre 2018,Parcialmente cubierto,19°,En calma,88%,1021 hPa
Domingo 23 Septiembre 2018,Lluvia ligera,18°,7 km/h,88%,1022 hPa
Lunes 24 Septiembre 2018,Mayormente cubierto,19°,6 km/h,78%,1021 hPa
Martes 25 Septiembre 2018,Mayormente cubierto,19°,En calma,78%,1021 hPa
Miércoles 26 Septiembre 2018,Parcialmente cubierto,18°,En calma,88%,1021 hPa
Jueves 27 Septiembre 2018,Mayormente cubierto,18°,En calma,88%,1020 hPa
Viernes 28 Septiembre 2018,Parcialmente cubierto,17°,7 km/h,88%,1021 hPa
Sábado 29 Septiembre 2018,Mayormente cubierto,17°,7 km/h,88%,1022 hPa
Domingo 30 Septiembre 2018,Lluvia ligera,18°,19 km/h,83%,1023 hPa
Lunes 1 Octubre 2018,Cielo cubierto,18°,En calma,88%,1023 hPa
Martes 2 Octubre 2018,Mayormente cubierto,15°,En calma,94%,1023 hPa
Miércoles 3 Octubre 2018,Parcialmente cubierto,17°,En calma,88%,1022 hPa
Jueves 4 Octubre 2018,Lluvia,17°,30 km/h,88%,1022 hPa
Viernes 5 Octubre 2018,Hielo cristalizado,17°,24 km/h,77%,1021 hPa
Sábado 6 Octubre 2018,Cielo cubierto,18°,En calma,83%,1020 hPa
Domingo 7 Octubre 2018,Mayormente cubierto,17°,En calma,88%,1021 hPa
Lunes 8 Octubre 2018,Parcialmente cubierto,16°,En calma,88%,1020 hPa
Martes 9 Octubre 2018,Nubes dispersas,13°,En calma,94%,1017 hPa
Miércoles 10 Octubre 2018,Despejado,12°,En calma,88%,1019 hPa
Jueves 11 Octubre 2018,Nubes dispersas,15°,En calma,88%,1021 hPa
Viernes 12 Octubre 2018,Mayormente cubierto,19°,7 km/h,83%,1021 hPa
Sábado 13 Octubre 2018,Mayormente cubierto,18°,11 km/h,88%,1020 hPa
Domingo 14 Octubre 2018,Parcialmente cubierto,17°,En calma,88%,1019 hPa
Lunes 15 Octubre 2018,Lluvia ligera,18°,En calma,94%,1020 hPa
Martes 16 Octubre 2018,Mayormente cubierto,18°,6 km/h,88%,1020 hPa
Miércoles 17 Octubre 2018,Mayormente cubierto,17°,En calma,88%,1020 hPa
Jueves 18 Octubre 2018,Parcialmente cubierto,18°,11 km/h,77%,1022 hPa
Viernes 19 Octubre 2018,Mayormente cubierto,17°,7 km/h,72%,1021 hPa
Sábado 20 Octubre 2018,Cielo cubierto,20°,En calma,73%,1021 hPa
Domingo 21 Octubre 2018,Lluvia ligera,18°,7 km/h,94%,1022 hPa
Lunes 22 Octubre 2018,Lluvia,17°,En calma,94%,1021 hPa
Martes 23 Octubre 2018,Cielo cubierto,18°,11 km/h,77%,1020 hPa
Miércoles 24 Octubre 2018,Mayormente cubierto,18°,9 km/h,77%,1022 hPa
Jueves 25 Octubre 2018,Nubes dispersas,15°,En calma,94%,1023 hPa
Viernes 26 Octubre 2018,Despejado,15°,En calma,88%,1021 hPa
Sábado 27 Octubre 2018,Despejado,16°,7 km/h,82%,1020 hPa
Domingo 28 Octubre 2018,Despejado,18°,En calma,56%,1023 hPa
Lunes 29 Octubre 2018,Nubes dispersas,13°,7 km/h,88%,1025 hPa
Martes 30 Octubre 2018,Mayormente cubierto,14°,En calma,88%,1023 hPa
Miércoles 31 Octubre 2018,Nubes dispersas,14°,En calma,88%,1021 hPa
Jueves 1 Noviembre 2018,Cielo cubierto,15°,En calma,88%,1021 hPa
Viernes 2 Noviembre 2018,Mayormente cubierto,16°,En calma,82%,1021 hPa
Sábado 3 Noviembre 2018,Cielo cubierto,14°,En calma,94%,1021 hPa
Domingo 4 Noviembre 2018,Cielo cubierto,15°,En calma,88%,1023 hPa
Lunes 5 Noviembre 2018,Cielo cubierto,16°,En calma,82%,1022 hPa
Martes 6 Noviembre 2018,Neblina,12°,En calma,94%,1021 hPa
Miércoles 7 Noviembre 2018,Despejado,13°,En calma,94%,1021 hPa
Jueves 8 Noviembre 2018,Despejado,16°,En calma,88%,1021 hPa
Viernes 9 Noviembre 2018,Parcialmente cubierto,16°,En calma,77%,1021 hPa
Sábado 10 Noviembre 2018,Parcialmente cubierto,14°,En calma,77%,1021 hPa
Domingo 11 Noviembre 2018,Parcialmente cubierto,14°,En calma,88%,1022 hPa
Lunes 12 Noviembre 2018,Despejado,15°,En calma,82%,1022 hPa
Martes 13 Noviembre 2018,Cielo cubierto,14°,En calma,82%,1022 hPa
Miércoles 14 Noviembre 2018,Parcialmente cubierto,7°,En calma,76%,1027 hPa
Jueves 15 Noviembre 2018,Despejado,6°,En calma,87%,1025 hPa
Viernes 16 Noviembre 2018,Despejado,8°,En calma,57%,1023 hPa
Sábado 17 Noviembre 2018,Despejado,8°,En calma,87%,1023 hPa
Domingo 18 Noviembre 2018,Mayormente cubierto,8°,En calma,76%,1023 hPa
Lunes 19 Noviembre 2018,Despejado,9°,En calma,76%,1023 hPa
Martes 20 Noviembre 2018,Despejado,10°,7 km/h,76%,1023 hPa
Miércoles 21 Noviembre 2018,Parcialmente cubierto,13°,En calma,72%,1025 hPa
Jueves 22 Noviembre 2018,Despejado,11°,En calma,76%,1025 hPa
Viernes 23 Noviembre 2018,Despejado,9°,En calma,87%,1023 hPa
Sábado 24 Noviembre 2018,Despejado,11°,En calma,71%,1021 hPa
Domingo 25 Noviembre 2018,Parcialmente cubierto,10°,En calma,82%,1021 hPa
Lunes 26 Noviembre 2018,Parcialmente cubierto,9°,En calma,76%,1021 hPa
Martes 27 Noviembre 2018,Despejado,10°,6 km/h,76%,1022 hPa
Miércoles 28 Noviembre 2018,Cielo cubierto,14°,En calma,88%,1019 hPa
